text,label
i feel so anxious about my performance,anxiety
my thoughts wont stop racing,anxiety
i feel so nervous and scared,anxiety
i feel a constant panic inside,anxiety
i feel so down and unhappy,sadness
i feel like crying all the time,sadness
i feel a deep emptiness inside,sadness
everything feels so gloomy and hopeless,sadness
i feel blue and miserable today,sadness
i feel heartbroken and sad,sadness
ive been crying my eyes out,sadness
i feel so lonely and sad,sadness
im not feeling okay at all,sadness
i feel really low and heavy,sadness
i feel like im in a dark hole,sadness
everything is sad and grey,sadness
i feel completely depressed and low,sadness
i feel so sad and broken,sadness
im struggling to find joy in anything,sadness
i feel so sad and empty,sadness
i feel like nothing goes right,sadness
i am feeling very down today,sadness
i feel unhappy with myself,sadness
i feel so sad and miserable,sadness
i feel like crying for no reason,sadness
i feel low and lonely,sadness
i feel a deep sadness in my heart,sadness
i feel so sad and exhausted,sadness
im not happy with my life,sadness
i feel down and out,sadness
i feel like a cloud is hanging over me,sadness
i feel empty and lonely,sadness
i am feeling really blue,sadness
i feel sad about the past,sadness
i feel so sad and discouraged,sadness
i feel like giving up because im so sad,sadness
i feel sad and rejected,sadness
i feel low and hopeless,sadness
i feel so sad and isolated,sadness
im crying because of how i feel,sadness
i feel sad and empty inside,sadness
i feel like nobody cares,sadness
i feel so sad and disappointed,sadness
im not in a good place mentally,sadness
i feel really sad and tired,sadness
i feel like crying myself to sleep,sadness
i feel a deep sense of sadness,sadness
i am feeling so sad and lost,sadness
i feel unhappy and disconnected,sadness
i feel down in the dumps,sadness
i feel so sad and unmotivated,sadness
im feeling very sad today,sadness
i feel a heavy sadness,sadness
i feel sad and alone,sadness
i feel so down and broken inside,sadness
im struggling with sadness,sadness
i feel sad and overwhelmed,sadness
i feel a constant sadness,sadness
i feel so sad and miserable right now,sadness
i feel unhappy and lonely,sadness
i feel sad about my life,sadness
i feel so down and empty,sadness
i feel like crying all day,sadness
i feel a deep sadness,sadness
i feel so sad and hopeless today,sadness
im feeling very down,sadness
i feel sad and hurt,sadness
i feel unhappy and exhausted,sadness
i feel so sad and useless,sadness
i feel a sense of sadness,sadness
i feel sad and discouraged about everything,sadness
im feeling down,sadness
i feel so sad and brokenhearted,sadness
i feel unhappy with everything,sadness
i feel sad and empty inside my chest,sadness
i feel so down and blue,sadness
i feel like crying right now,sadness
i feel a heavy weight of sadness,sadness
i feel sad and disconnected from everyone,sadness
im feeling so sad,sadness
i feel unhappy and disappointed with myself,sadness
i feel sad and tired of everything,sadness
i feel so sad and helpless,sadness
i feel a wave of sadness,sadness
im crying because im sad,sadness
i feel really down,sadness
i feel heartbroken and empty,sadness
everything feels hopeless,sadness
im feeling very blue today,sadness
i feel so lonely and blue,sadness
i just want to cry,sadness
i feel so down and miserable,sadness
i am really happy today,happiness
i feel wonderful and joyful,happiness
today is a great day,happiness
im so excited about this,happiness
i feel amazing and cheerful,happiness
everything is going perfectly,happiness
im in a fantastic mood,happiness
i feel so happy and content,happiness
this makes me smile so much,happiness
im having a beautiful day,happiness
i feel so blessed and happy,happiness
i am absolutely thrilled,happiness
im feeling very positive today,happiness
life is wonderful right now,happiness
i feel so lucky and happy,happiness
im so glad things worked out,happiness
this is the best feeling ever,happiness
i feel joyful and light,happiness
im laughing and having fun,happiness
i am so happy with my progress,happiness
i feel content and peaceful,happiness
im in such a good mood today,happiness
i am so proud of myself,happiness
everything feels bright and happy,happiness
im feeling great and optimistic,happiness
i am so happy to hear that,happiness
i feel happy and energized,happiness
this is so exciting and joyful,happiness
im smiling from ear to ear,happiness
i feel so happy inside,happiness
i am extremely happy today,happiness
everything is working in my favor,happiness
i feel so satisfied and happy,happiness
i am feeling joyful today,happiness
this is a wonderful moment,happiness
im so happy and grateful,happiness
i feel lighthearted and happy,happiness
i am in high spirits,happiness
im so glad to be here,happiness
i feel fantastic and happy,happiness
im happy about my grades,happiness
i feel cheerful and bright,happiness
this is such a happy day,happiness
im so happy with my life,happiness
i feel joyful and happy,happiness
i am feeling wonderful,happiness
everything is going so well,happiness
im so happy right now,happiness
i feel great about my future,happiness
im smiling and happy,happiness
this is a joyful day,happiness
i feel so happy and alive,happiness
im having a great time,happiness
i feel very happy and relaxed,happiness
this news makes me so happy,happiness
im content and happy,happiness
i feel absolutely amazing,happiness
i am so happy and excited,happiness
everything is perfect today,happiness
i feel joyful,happiness
im in a great mood,happiness
i am so happy,happiness
i feel very cheerful,happiness
i am happy with how things are,happiness
this is a beautiful moment,happiness
i feel so happy and cheerful,happiness
i am having a wonderful day,happiness
i feel cheerful,happiness
im so happy about my progress,happiness
i feel so joyful,happiness
i am smiling today,happiness
i feel happy and content,happiness
this is fantastic news,happiness
i am in a very happy mood,happiness
everything feels great,happiness
i feel absolutely happy,happiness
im so glad about this,happiness
i feel cheerful and happy,happiness
this is the happiest day,happiness
i feel so good and happy,happiness
i am feeling very happy,happiness
im so happy to be alive,happiness
i am sitting at my desk,neutral
im just doing my homework,neutral
today is just a normal day,neutral
i dont feel anything in particular,neutral
im reading a book right now,neutral
i have a class at 2 pm,neutral
i am walking to the library,neutral
im eating lunch now,neutral
everything is okay just standard,neutral
i am writing some code,neutral
i have to clean my room today,neutral
im listening to a podcast,neutral
i just woke up a while ago,neutral
im going to buy groceries,neutral
i am attending a lecture,neutral
im cooking dinner tonight,neutral
i dont have any specific plans,neutral
i am waiting for the bus,neutral
im sitting on the couch,neutral
i have some chores to do,neutral
i am working on my project,neutral
im watching a documentary,neutral
i just finished my class,neutral
i am drinking water,neutral
i have a meeting tomorrow morning,neutral
im typing on my laptop,neutral
i am walking in the park,neutral
im just sitting here,neutral
today is a regular wednesday,neutral
i am planning my schedule,neutral
i have an assignment due next week,neutral
im packing my bag,neutral
i am checking my email,neutral
im just doing some light reading,neutral
i dont feel happy or sad,neutral
im in a neutral state,neutral
i am washing the dishes,neutral
im going to the store,neutral
i have some homework to finish,neutral
im just taking a walk,neutral
today is a typical day,neutral
i am sitting quietly,neutral
im just browsing the web,neutral
i am writing a list,neutral
i have to wake up early tomorrow,neutral
im just listening to music,neutral
i dont have any strong feelings,neutral
i am preparing my meals,neutral
im just doing some work,neutral
i am studying in the library,neutral
i have a class in ten minutes,neutral
im sitting by the window,neutral
today is an ordinary day,neutral
i am updating my calendar,neutral
i have to call my friend later,neutral
im just writing notes,neutral
i dont feel much today,neutral
i am sorting my papers,neutral
im just going about my day,neutral
i am walking home,neutral
i have a test next month,neutral
im just drinking tea,neutral
i am sitting in a cafe,neutral
im just relaxing a bit,neutral
today is a plain day,neutral
i am typing a document,neutral
i have some tasks to complete,neutral
im just waiting here,neutral
i dont feel any emotion right now,neutral
i am arranging my books,neutral
im just doing standard stuff,neutral
i am checking the time,neutral
i have a class online,neutral
im just looking around,neutral
today is a quiet day,neutral
i am writing in my notebook,neutral
i dont feel stressed or happy,neutral
i am preparing for bed,neutral
im just taking it easy,neutral
i am sitting down,neutral
